;prec;tmax;tmin;u10;v10
2016-01-01;28.2873535156;27.1300048828;22.8200073242;1.25999450684;-0.330001831055
2016-01-02;19.5004768372;24.5100097656;22.4100036621;-2.18000793457;1.95999145508
2016-01-03;30.1967983246;23.6900024414;22.0100097656;-5.00999450684;3.70999145508
2016-01-04;2.48831892014;23.7300109863;20.5400085449;-6.69999694824;2.44999694824
2016-01-05;0.55294406414;24.7200012207;20.0500183105;-6.63000488281;-0.199996948242
2016-01-06;0.00863000750542;26.7600097656;19.9100036621;-5.44999694824;-0.350006103516
2016-01-07;0.00863000750542;28.4200134277;20.5100097656;-3.83000183105;-0.570007324219
2016-01-08;0.00863000750542;28.9499816895;22.2799987793;-3.58000183105;-0.880004882812
2016-01-09;32.0543823242;27.1600036621;22.6900024414;-3.61000061035;-1.30000305176
2016-01-10;4.11263084412;25.7600097656;22.3800048828;-1.43000793457;-2.91000366211
2016-01-11;1.61566221714;26.8000183105;22.5199890137;0.800003051758;-4.61000061035
2016-01-12;35.9596710205;23.7200012207;22.2799987793;-0.479995727539;-4.00999450684
2016-01-13;59.3827171326;24.8999938965;22.490020752;-1.21000671387;-0.509994506836
2016-01-14;38.1196670532;25.0500183105;22.1100158691;-2.41999816895;4.0
2016-01-15;30.7843036652;24.6700134277;22.0500183105;-1.43000793457;1.36999511719
2016-01-16;19.8460617065;22.9100036621;20.6800231934;-2.33000183105;7.03999328613
2016-01-17;1.84895396233;22.0100097656;18.7300109863;-3.57000732422;5.81999206543
2016-01-18;9.28798103333;21.8800048828;19.8899841309;-5.13000488281;5.59999084473
2016-01-19;14.19551754;21.6399841309;19.8800048828;-5.07000732422;4.5299987793
2016-01-20;20.6755065918;22.1900024414;19.6300048828;-4.77000427246;4.25
2016-01-21;6.48863887787;22.490020752;19.8700256348;-1.91999816895;6.11000061035
2016-01-22;0.224621593952;23.9800109863;18.9700012207;-2.30000305176;4.92999267578
2016-01-23;0.0863805413246;24.4599914551;18.8500061035;-1.57000732422;3.11999511719
2016-01-24;0.00863000750542;26.1300048828;18.2900085449;-2.4700012207;-0.380004882812
2016-01-25;7.81918907166;26.4700012207;21.0700073242;-1.63000488281;-1.52000427246
2016-01-26;7.42174625397;28.0100097656;21.7600097656;0.709991455078;-0.830001831055
2016-01-27;11.1887950897;28.3999938965;22.6300048828;-0.949996948242;1.30000305176
2016-01-28;3.78430867195;24.9599914551;22.1399841309;-3.18000793457;1.55999755859
2016-01-29;18.1871871948;24.8000183105;22.1000061035;-2.5;-1.9700012207
2016-01-30;1.10590827465;27.7099914551;21.4499816895;-1.50999450684;-3.22999572754
2016-01-31;0.0259101390839;29.4599914551;21.7799987793;-0.43000793457;-2.58000183105
2016-02-01;0.00863000750542;30.2699890137;22.25;-0.110000610352;-2.22999572754
2016-02-02;0.00863000750542;29.240020752;21.1800231934;-1.00999450684;0.619995117188
2016-02-03;7.32671546936;29.3200073242;21.1499938965;-1.64999389648;1.41000366211
2016-02-04;1.99582493305;27.740020752;21.2699890137;-2.60000610352;0.0500030517578
2016-02-05;6.60957956314;29.2099914551;21.7099914551;-1.46000671387;-1.16999816895
2016-02-06;5.4431810379;27.0799865723;20.5400085449;-1.44000244141;2.30999755859
2016-02-07;2.85983181;25.8099975586;20.7799987793;-1.58999633789;2.11999511719
2016-02-08;7.94014978409;27.9499816895;21.240020752;-2.61000061035;0.0
2016-02-09;0.155501067638;28.5100097656;21.5700073242;-0.839996337891;-2.52000427246
2016-02-10;15.9667015076;28.6900024414;22.1200256348;0.559997558594;-0.690002441406
2016-02-11;14.4892807007;26.6000061035;21.3500061035;-2.68000793457;2.45999145508
2016-02-12;8.2511920929;23.4700012207;21.5100097656;-4.27000427246;3.0299987793
2016-02-13;4.18175172806;26.0799865723;19.8500061035;-4.41000366211;0.330001831055
2016-02-14;1.14911866188;28.8999938965;21.9499816895;-1.38000488281;-1.57000732422
2016-02-15;20.3817443848;27.7099914551;23.7099914551;-1.35000610352;-1.83999633789
2016-02-16;13.1932697296;26.4300231934;21.7200012207;-0.509994506836;-0.0700073242188
2016-02-17;14.7225513458;27.6499938965;22.9599914551;0.369995117188;-1.36999511719
2016-02-18;13.6079940796;25.75;22.8999938965;0.5;-1.66000366211
2016-02-19;5.97886514664;26.7300109863;22.7900085449;-1.46000671387;-1.5299987793
2016-02-20;33.203502655;26.0;22.7300109863;-0.809997558594;-2.71000671387
2016-02-21;26.9913444519;26.3500061035;22.5;-1.85000610352;-2.00999450684
2016-02-22;2.57471942902;25.8700256348;22.0700073242;-3.27000427246;-1.93000793457
2016-02-23;3.02398300171;26.8000183105;22.3500061035;-2.49000549316;-1.97999572754
2016-02-24;4.19903182983;28.1800231934;22.0299987793;-1.64999389648;-1.7799987793
2016-02-25;10.2988777161;27.7200012207;21.9400024414;0.139999389648;-2.30000305176
2016-02-26;3.27455472946;27.3600158691;22.5100097656;0.550003051758;-2.32000732422
2016-02-27;13.9622249603;27.9599914551;23.3399963379;1.63999938965;-3.41999816895
2016-02-28;6.18622684479;26.3500061035;23.3000183105;2.53999328613;-1.57000732422
2016-02-29;37.5148620605;23.7099914551;22.2200012207;-0.529998779297;5.72999572754
2016-03-01;41.7657546997;22.4400024414;20.5199890137;-3.36000061035;4.59999084473
2016-03-02;18.1267166138;23.8899841309;20.6499938965;-4.13000488281;-0.460006713867
2016-03-03;26.8531036377;25.9700012207;21.3700256348;-1.13999938965;-5.41999816895
2016-03-04;12.3292636871;27.1000061035;21.8500061035;1.13999938965;-3.55999755859
2016-03-05;2.28095722198;27.3000183105;21.6600036621;-0.470001220703;-1.35000610352
2016-03-06;6.48863887787;28.7099914551;21.8700256348;-1.38999938965;-1.21000671387
2016-03-07;35.7609405518;27.6399841309;22.5799865723;-1.77000427246;0.110000610352
2016-03-08;2.00447511673;25.5400085449;21.3600158691;-2.86000061035;0.389999389648
2016-03-09;1.1318385601;26.7300109863;21.7699890137;-2.64999389648;-2.32000732422
2016-03-10;4.41502332687;25.8500061035;21.7900085449;-1.55999755859;-5.19000244141
2016-03-11;13.2019195557;25.8899841309;22.3200073242;0.399993896484;-4.91999816895
2016-03-12;41.0140609741;25.3500061035;22.6399841309;0.809997558594;1.33000183105
2016-03-13;3.9830198288;22.4100036621;20.6399841309;-2.0299987793;4.31999206543
2016-03-14;4.77790641785;23.6200256348;20.6700134277;-3.11999511719;1.86999511719
2016-03-15;0.431983172894;25.0100097656;21.1200256348;-3.0299987793;0.589996337891
2016-03-16;3.48191642761;24.6200256348;20.490020752;-2.58000183105;1.20999145508
2016-03-17;9.95327568054;24.3999938965;21.0199890137;-2.75;-0.550003051758
2016-03-18;10.1519870758;26.2900085449;20.6800231934;-2.00999450684;-0.240005493164
2016-03-19;5.51230144501;27.0799865723;19.0199890137;-0.589996337891;0.679992675781
2016-03-20;0.00863000750542;25.6000061035;20.1900024414;-2.69999694824;0.669998168945
2016-03-21;0.00863000750542;26.4200134277;20.1200256348;-2.66999816895;-1.18000793457
2016-03-22;6.83422136307;26.740020752;21.25;0.490005493164;-2.5299987793
2016-03-23;15.0681533813;26.75;22.2200012207;-0.570007324219;-0.169998168945
2016-03-24;0.00863000750542;24.1499938965;21.3899841309;-2.36000061035;1.75999450684
2016-03-25;21.2716617584;25.2300109863;21.2300109863;-3.88999938965;-0.589996337891
2016-03-26;32.7715187073;26.0400085449;22.7300109863;-1.16000366211;-3.44999694824
2016-03-27;21.9369564056;26.6200256348;22.25;-0.460006713867;-1.86000061035
2016-03-28;21.0729484558;26.9599914551;22.6399841309;-1.27000427246;-0.68000793457
2016-03-29;4.62238502502;26.3600158691;22.1900024414;-1.47999572754;-0.169998168945
2016-03-30;17.8243045807;26.3099975586;22.1800231934;-1.83999633789;0.660003662109
2016-03-31;7.03295326233;25.7799987793;20.5199890137;-1.36999511719;0.309997558594
2016-04-01;2.00447511673;26.1900024414;18.9599914551;-0.93000793457;0.699996948242
2016-04-02;2.42782831192;25.3099975586;21.2200012207;-2.30999755859;0.410003662109
2016-04-03;0.846706330776;27.2200012207;21.4499816895;-1.55000305176;-0.630004882812
2016-04-04;0.00863000750542;26.5400085449;21.9599914551;-2.39999389648;1.66000366211
2016-04-05;0.00863000750542;25.4599914551;20.3200073242;-2.97999572754;1.20999145508
2016-04-06;0.00863000750542;26.1200256348;20.490020752;-3.0;-0.550003051758
2016-04-07;0.00863000750542;27.9700012207;20.8500061035;-0.559997558594;-1.38000488281
2016-04-08;0.00863000750542;27.6399841309;17.9700012207;-0.68000793457;1.02000427246
2016-04-09;0.00863000750542;29.0199890137;19.7799987793;-1.38999938965;-0.580001831055
2016-04-10;3.69790792465;27.6200256348;20.6700134277;-1.75;0.229995727539
2016-04-11;2.59199953079;27.3800048828;20.7099914551;-2.33000183105;0.589996337891
2016-04-12;0.656624913216;27.6499938965;20.2200012207;-2.30999755859;-0.220001220703
2016-04-13;0.00863000750542;27.740020752;20.6000061035;-2.47999572754;-1.60000610352
2016-04-14;0.00863000750542;28.0500183105;22.1200256348;-1.30999755859;-2.58000183105
2016-04-15;0.00863000750542;29.9100036621;22.2900085449;-1.32000732422;-0.5
2016-04-16;0.00863000750542;28.0599975586;20.7200012207;-2.5299987793;-1.43000793457
2016-04-17;0.00863000750542;28.2799987793;20.6499938965;-2.39999389648;-2.05000305176
2016-04-18;0.00863000750542;28.5199890137;21.6700134277;-1.69000244141;-2.60000610352
2016-04-19;0.00863000750542;28.1000061035;21.240020752;-2.41999816895;-2.11000061035
2016-04-20;0.00863000750542;28.1300048828;21.7200012207;-1.9700012207;-2.36000061035
2016-04-21;0.00863000750542;28.0599975586;22.1499938965;-0.380004882812;-2.80999755859
2016-04-22;0.00863000750542;29.6399841309;21.7099914551;-0.649993896484;-1.38999938965
2016-04-23;0.00863000750542;28.4800109863;21.8399963379;-1.7799987793;-2.50999450684
2016-04-24;0.00863000750542;28.5199890137;20.1100158691;-1.00999450684;-2.82000732422
2016-04-25;0.00863000750542;28.1200256348;20.1600036621;0.929992675781;-4.80000305176
2016-04-26;0.00863000750542;28.3600158691;20.6399841309;1.74000549316;-4.96000671387
2016-04-27;0.0259101390839;25.6300048828;20.8700256348;3.72999572754;-0.279998779297
2016-04-28;1.05406785011;22.8000183105;17.9300231934;-0.309997558594;5.24000549316
2016-04-29;13.0982398987;20.3500061035;18.0199890137;-3.9700012207;3.02000427246
2016-04-30;10.0742359161;21.5500183105;18.5299987793;0.309997558594;2.28999328613
2016-05-01;0.0604704022408;20.2799987793;16.4800109863;1.22999572754;4.13000488281
2016-05-02;0.00863000750542;21.6800231934;12.0899963379;-2.05999755859;1.11999511719
2016-05-03;0.00863000750542;23.3700256348;16.3500061035;-2.89999389648;-0.270004272461
2016-05-04;0.00863000750542;26.2699890137;18.6900024414;-0.559997558594;0.539993286133
2016-05-05;0.00863000750542;24.1499938965;18.6399841309;-2.44999694824;2.55999755859
2016-05-06;0.00863000750542;25.2699890137;19.3600158691;-4.11000061035;0.0399932861328
2016-05-07;3.92254972458;25.9300231934;19.3899841309;-2.07000732422;-1.16999816895
2016-05-08;2.73887062073;24.1700134277;17.7099914551;-0.320007324219;-0.119995117188
2016-05-09;0.561594247818;23.8700256348;17.7900085449;-1.41999816895;-0.649993896484
2016-05-10;3.15359401703;25.9100036621;20.0299987793;-0.220001220703;-1.91000366211
2016-05-11;1.90079426765;23.1800231934;18.4499816895;0.0399932861328;2.61999511719
2016-05-12;0.336952507496;22.1300048828;19.1300048828;-1.25999450684;2.58999633789
2016-05-13;7.48223686218;20.0400085449;17.9100036621;-2.52000427246;4.14999389648
2016-05-14;2.59199953079;19.5700073242;17.1700134277;-4.30000305176;2.30000305176
2016-05-15;0.00863000750542;22.8800048828;17.3200073242;-3.5299987793;-4.11000061035
2016-05-16;0.00863000750542;25.8800048828;19.6700134277;2.05999755859;-6.05000305176
2016-05-17;0.967667222023;24.9700012207;19.8200073242;0.0500030517578;0.139999389648
2016-05-18;0.846706330776;22.3700256348;19.6600036621;-2.27000427246;1.66999816895
2016-05-19;11.7417593002;20.1399841309;18.8800048828;-3.38999938965;4.06999206543
2016-05-20;3.62015748024;22.4400024414;18.1100158691;-4.24000549316;-0.699996948242
2016-05-21;0.00863000750542;23.6100158691;19.2600097656;-0.0700073242188;-4.44999694824
2016-05-22;0.544314086437;24.990020752;19.4700012207;-0.259994506836;-2.83999633789
2016-05-23;3.14494371414;22.2200012207;17.4700012207;3.25;2.31999206543
2016-05-24;0.699835300446;19.0100097656;15.1900024414;-2.16000366211;5.0299987793
2016-05-25;0.414703041315;21.3500061035;17.1700134277;-5.30999755859;0.399993896484
2016-05-26;0.820796191692;22.3999938965;17.740020752;-2.61000061035;-1.41000366211
2016-05-27;0.00863000750542;23.1900024414;15.5799865723;-2.94000244141;0.360000610352
2016-05-28;0.00863000750542;23.1600036621;16.8999938965;-2.68000793457;-0.270004272461
2016-05-29;0.00863000750542;23.1000061035;16.6399841309;-1.21000671387;-1.91000366211
2016-05-30;0.00863000750542;24.3299865723;16.8200073242;0.350006103516;-2.47999572754
2016-05-31;1.74527311325;24.3999938965;18.0599975586;0.360000610352;-2.24000549316
2016-06-01;0.0345401465893;23.3800048828;19.25;-0.770004272461;-0.490005493164
2016-06-02;1.05406785011;23.3600158691;20.2900085449;1.56999206543;-2.5
2016-06-03;1.7193428278;22.490020752;19.5799865723;-0.270004272461;-1.85000610352
2016-06-04;2.57471942902;21.6999816895;19.2099914551;-0.300003051758;0.100006103516
2016-06-05;4.55326461792;22.2699890137;20.3299865723;-0.779998779297;-1.2799987793
2016-06-06;2.62653970718;23.5700073242;20.3000183105;0.619995117188;-1.08000183105
2016-06-07;6.22078704834;22.3000183105;17.990020752;0.979995727539;4.16000366211
2016-06-08;1.18367898464;19.0100097656;16.2300109863;0.160003662109;3.4700012207
2016-06-09;0.0259101390839;18.5700073242;14.1800231934;-0.559997558594;3.30000305176
2016-06-10;0.00863000750542;20.2600097656;13.3899841309;-0.910003662109;2.0299987793
2016-06-11;0.371512770653;18.2099914551;12.6499938965;2.61999511719;2.92999267578
2016-06-12;0.00863000750542;16.8800048828;8.88998413086;1.80000305176;2.81999206543
2016-06-13;0.00863000750542;16.3200073242;8.79000854492;-1.36000061035;3.13000488281
2016-06-14;0.00863000750542;18.990020752;12.740020752;-4.25;-0.279998779297
2016-06-15;0.00863000750542;21.0799865723;14.9400024414;-2.33000183105;-1.32000732422
2016-06-16;0.00863000750542;22.9400024414;13.6700134277;-1.38000488281;-1.64999389648
2016-06-17;0.00863000750542;22.1399841309;14.1900024414;-0.770004272461;-3.64999389648
2016-06-18;0.00863000750542;23.5799865723;13.8299865723;-0.559997558594;-1.11000061035
2016-06-19;0.00863000750542;22.3200073242;10.6999816895;-1.57000732422;-0.190002441406
2016-06-20;0.0172600150108;20.9200134277;10.0400085449;-1.44999694824;1.58000183105
2016-06-21;0.768955826759;19.4599914551;14.7200012207;-3.46000671387;2.66999816895
2016-06-22;0.0691004097462;21.5899963379;15.3200073242;-2.19000244141;-2.58999633789
2016-06-23;0.00863000750542;20.2600097656;15.8500061035;0.770004272461;-1.33999633789
2016-06-24;0.00863000750542;19.9400024414;14.5299987793;-1.93000793457;2.75
2016-06-25;0.0691004097462;20.7699890137;15.240020752;-4.86999511719;0.440002441406
2016-06-26;0.00863000750542;20.7600097656;14.9200134277;-3.94999694824;-0.699996948242
2016-06-27;0.00863000750542;21.0;14.7200012207;-2.86999511719;-0.970001220703
2016-06-28;0.00863000750542;21.4100036621;14.4800109863;-2.89999389648;-0.839996337891
2016-06-29;0.00863000750542;22.4300231934;16.4300231934;-2.41999816895;-2.19999694824
2016-06-30;0.00863000750542;22.490020752;14.3399963379;-2.04000854492;-0.479995727539
